№   Дата/время           Температура  Осадки (мм)
1   "2025-05-10T00:00"     7.3             0.00     
2   "2025-05-10T01:00"     7.2             0.00      
3   "2025-05-10T02:00"     6.8             0.00      
4   "2025-05-10T03:00"     6.8             0.00      
5   "2025-05-10T04:00"     6.7             0.00      
6   "2025-05-10T05:00"     6.6             0.00      
7   "2025-05-10T06:00"     6.9             0.20   
8   "2025-05-10T07:00"     7.2             0.60      
9   "2025-05-10T08:00"     7.3             1.30      
10  "2025-05-10T09:00"     7.5             2.10      
11  "2025-05-10T10:00"     8.0             2.30      
12  "2025-05-10T11:00"     8.6             3.00      
13  "2025-05-10T12:00"     9.1             3.50      
14  "2025-05-10T13:00"     9.3             3.90      
15  "2025-05-10T14:00"     9.6             2.40      
16  "2025-05-10T15:00"     9.5             0.70      
17  "2025-05-10T16:00"     9.8             0.40      
18  "2025-05-10T17:00"     9.7             0.20      
19  "2025-05-10T18:00"     9.4             0.50      
20  "2025-05-10T19:00"     9.5             0.40     
21  "2025-05-10T20:00"     6.5             0.00     
22  "2025-05-10T21:00"     5.4             0.00     
23  "2025-05-10T22:00"     4.7             0.00      
24  "2025-05-10T23:00"     4.6             0.00       
